GL_Code,GL_Name,Opening_Bal,DR_Summation,CR_Summation,Closing_Bal
110101001,Savings Bank Regular,3254152.00,185000.00,135000.00,3329152.00
110101002,Savings Bank (Sr. Citizen),312872.00,0.00,0.00,312872.00
110102001,Current Account Regular,451408.00,0.00,0.00,451408.00
110201002,Term Deposit Non Cum,1170067.00,0.00,50000.00,1220067.00
130101001,Interest Payable Savings Bank Regular,6597.04,0.00,1296.14,7893.18
130102001,IPTDCUM,5393.44,0.00,641.14,6034.58
140101001,OD against TD Interest Income,397.82,0.00,26.36,424.18
140102001,IIHLWMN,0.00,0.00,0.00,0.00
210201001,OD against TD,-43744.00,0.00,0.00,-43744.00
220101001,FACHR,-54000.00,0.00,0.00,-54000.00
220202001,CTLR1,-3545099.00,0.00,0.00,-3545099.00
230101001,IRODATD,-397.82,26.36,0.00,-424.18
230201001,RBMIS,-1545656.00,0.00,0.00,-1545656.00
240101001,Interest Expenditure Savings Bank Regular,-6597.04,1296.14,0.00,-7893.18
240102001,IETDCUM,-5393.44,641.14,0.00,-6034.58
TOTAL,,0.00,186963.64,186963.64,125000.00
